Time,LIVING_UNIT1::Des Heat Load [W],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1::Des Heat Mass Flow [kg/s],LIVING_UNIT1:HONOLULU INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.571554E+03,0.000000E+00,1.284738E-01
00:30:00,0.000000E+00,1.463648E+03,0.000000E+00,1.196515E-01
00:45:00,0.000000E+00,1.365561E+03,0.000000E+00,1.116320E-01
01:00:00,0.000000E+00,1.275471E+03,0.000000E+00,1.042666E-01
01:15:00,0.000000E+00,1.194909E+03,0.000000E+00,9.768009E-02
01:30:00,0.000000E+00,1.123043E+03,0.000000E+00,9.180469E-02
01:45:00,0.000000E+00,1.058120E+03,0.000000E+00,8.649685E-02
02:00:00,0.000000E+00,9.991489E+02,0.000000E+00,8.167570E-02
02:15:00,0.000000E+00,9.574158E+02,0.000000E+00,7.826372E-02
02:30:00,0.000000E+00,9.202133E+02,0.000000E+00,7.522240E-02
02:45:00,0.000000E+00,8.869406E+02,0.000000E+00,7.250236E-02
03:00:00,0.000000E+00,8.570902E+02,0.000000E+00,7.006210E-02
03:15:00,0.000000E+00,8.190549E+02,0.000000E+00,6.695281E-02
03:30:00,0.000000E+00,7.832829E+02,0.000000E+00,6.402834E-02
03:45:00,0.000000E+00,7.493574E+02,0.000000E+00,6.125483E-02
04:00:00,0.000000E+00,7.171039E+02,0.000000E+00,5.861800E-02
04:15:00,0.000000E+00,7.012201E+02,0.000000E+00,5.731930E-02
04:30:00,0.000000E+00,6.881229E+02,0.000000E+00,5.624867E-02
04:45:00,0.000000E+00,6.774735E+02,0.000000E+00,5.537817E-02
05:00:00,0.000000E+00,6.689620E+02,0.000000E+00,5.468245E-02
05:15:00,0.000000E+00,6.593228E+02,0.000000E+00,5.389456E-02
05:30:00,0.000000E+00,6.550791E+02,0.000000E+00,5.354766E-02
05:45:00,0.000000E+00,6.890287E+02,0.000000E+00,5.632286E-02
06:00:00,0.000000E+00,7.683264E+02,0.000000E+00,6.280592E-02
06:15:00,0.000000E+00,8.981325E+02,0.000000E+00,7.341800E-02
06:30:00,0.000000E+00,1.067987E+03,0.000000E+00,8.730274E-02
06:45:00,0.000000E+00,1.241017E+03,0.000000E+00,1.014462E-01
07:00:00,0.000000E+00,1.408362E+03,0.000000E+00,1.151234E-01
07:15:00,0.000000E+00,1.559550E+03,0.000000E+00,1.274785E-01
07:30:00,0.000000E+00,1.712893E+03,0.000000E+00,1.400093E-01
07:45:00,0.000000E+00,1.872664E+03,0.000000E+00,1.530659E-01
08:00:00,0.000000E+00,2.040382E+03,0.000000E+00,1.667723E-01
08:15:00,0.000000E+00,2.179410E+03,0.000000E+00,1.781343E-01
08:30:00,0.000000E+00,2.315437E+03,0.000000E+00,1.892517E-01
08:45:00,0.000000E+00,2.448353E+03,0.000000E+00,2.001152E-01
09:00:00,0.000000E+00,2.578089E+03,0.000000E+00,2.107188E-01
09:15:00,0.000000E+00,2.723679E+03,0.000000E+00,2.226184E-01
09:30:00,0.000000E+00,2.863798E+03,0.000000E+00,2.340710E-01
09:45:00,0.000000E+00,2.997237E+03,0.000000E+00,2.449775E-01
10:00:00,0.000000E+00,3.122325E+03,0.000000E+00,2.552013E-01
10:15:00,0.000000E+00,3.252753E+03,0.000000E+00,2.658636E-01
10:30:00,0.000000E+00,3.374363E+03,0.000000E+00,2.758058E-01
10:45:00,0.000000E+00,3.485815E+03,0.000000E+00,2.849175E-01
11:00:00,0.000000E+00,3.586744E+03,0.000000E+00,2.931693E-01
11:15:00,0.000000E+00,3.259056E+03,0.000000E+00,2.634434E-01
11:30:00,0.000000E+00,3.022995E+03,0.000000E+00,2.401473E-01
11:45:00,0.000000E+00,2.861792E+03,0.000000E+00,2.222665E-01
12:00:00,0.000000E+00,2.719615E+03,0.000000E+00,2.056844E-01
12:15:00,0.000000E+00,3.013679E+03,0.000000E+00,2.274731E-01
12:30:00,0.000000E+00,3.225862E+03,0.000000E+00,2.434046E-01
12:45:00,0.000000E+00,3.375131E+03,0.000000E+00,2.546727E-01
13:00:00,0.000000E+00,3.520342E+03,0.000000E+00,2.656356E-01
13:15:00,0.000000E+00,3.661235E+03,0.000000E+00,2.762809E-01
13:30:00,0.000000E+00,3.798297E+03,0.000000E+00,2.866364E-01
13:45:00,0.000000E+00,3.930136E+03,0.000000E+00,2.965980E-01
14:00:00,0.000000E+00,4.054481E+03,0.000000E+00,3.059943E-01
14:15:00,0.000000E+00,4.171239E+03,0.000000E+00,3.148077E-01
14:30:00,0.000000E+00,4.276677E+03,0.000000E+00,3.227592E-01
14:45:00,0.000000E+00,4.370772E+03,0.000000E+00,3.298474E-01
15:00:00,0.000000E+00,4.452086E+03,0.000000E+00,3.359701E-01
15:15:00,0.000000E+00,4.522805E+03,0.000000E+00,3.412931E-01
15:30:00,0.000000E+00,4.579393E+03,0.000000E+00,3.455514E-01
15:45:00,0.000000E+00,4.620360E+03,0.000000E+00,3.486354E-01
16:00:00,0.000000E+00,4.643990E+03,0.000000E+00,3.504116E-01
16:15:00,0.000000E+00,4.666062E+03,0.000000E+00,3.520675E-01
16:30:00,0.000000E+00,4.677323E+03,0.000000E+00,3.529108E-01
16:45:00,0.000000E+00,4.674235E+03,0.000000E+00,3.526737E-01
17:00:00,0.000000E+00,4.655895E+03,0.000000E+00,3.512861E-01
17:15:00,0.000000E+00,4.634200E+03,0.000000E+00,3.496482E-01
17:30:00,0.000000E+00,4.597795E+03,0.000000E+00,3.468994E-01
17:45:00,0.000000E+00,4.544514E+03,0.000000E+00,3.428770E-01
18:00:00,0.000000E+00,4.470972E+03,0.000000E+00,3.373259E-01
18:15:00,0.000000E+00,4.365491E+03,0.000000E+00,3.293650E-01
18:30:00,0.000000E+00,4.215162E+03,0.000000E+00,3.180222E-01
18:45:00,0.000000E+00,4.016556E+03,0.000000E+00,3.030372E-01
19:00:00,0.000000E+00,3.790632E+03,0.000000E+00,2.859922E-01
19:15:00,0.000000E+00,3.546071E+03,0.000000E+00,2.675415E-01
19:30:00,0.000000E+00,3.326085E+03,0.000000E+00,2.509450E-01
19:45:00,0.000000E+00,3.144716E+03,0.000000E+00,2.372636E-01
20:00:00,0.000000E+00,2.990369E+03,0.000000E+00,2.256204E-01
20:15:00,0.000000E+00,2.843482E+03,0.000000E+00,2.145410E-01
20:30:00,0.000000E+00,2.701912E+03,0.000000E+00,2.038639E-01
20:45:00,0.000000E+00,2.565299E+03,0.000000E+00,1.935596E-01
21:00:00,0.000000E+00,2.434828E+03,0.000000E+00,1.837177E-01
21:15:00,0.000000E+00,2.305150E+03,0.000000E+00,1.739342E-01
21:30:00,0.000000E+00,2.178129E+03,0.000000E+00,1.643537E-01
21:45:00,0.000000E+00,2.056209E+03,0.000000E+00,1.551579E-01
22:00:00,0.000000E+00,1.939425E+03,0.000000E+00,1.463493E-01
22:15:00,0.000000E+00,2.218568E+03,0.000000E+00,1.692974E-01
22:30:00,0.000000E+00,2.172586E+03,0.000000E+00,1.686603E-01
22:45:00,0.000000E+00,2.308291E+03,0.000000E+00,1.827074E-01
23:00:00,0.000000E+00,2.380817E+03,0.000000E+00,1.914341E-01
23:15:00,0.000000E+00,2.043680E+03,0.000000E+00,1.670714E-01
23:30:00,0.000000E+00,2.027634E+03,0.000000E+00,1.657633E-01
23:45:00,0.000000E+00,1.828141E+03,0.000000E+00,1.494555E-01
24:00:00,0.000000E+00,1.692263E+03,0.000000E+00,1.383436E-01
Peak,0.000000E+00,4.677323E+03,0.000000E+00,3.529108E-01

Peak Vol Flow (m3/s),,,0.000000E+00,2.933530E-01
